Species,Drug,Year,countries,n_total,n_above_ecoff,n_above_bp,pct_above_ecoff,pct_above_bp,pct_above_ecoff_lo,pct_above_ecoff_hi,pct_above_bp_lo,pct_above_bp_hi
Escherichia coli,Ceftriaxone,2006,43,2398,884,553,36.86405337781485,23.060884070058382,34.9555770729858,38.81454844107166,21.418855140362478,24.789084802752136
Escherichia coli,Ceftriaxone,2007,35,2962,1096,666,37.00202565833896,22.4848075624578,35.28117808129494,38.7565440730722,21.01753170918436,24.02336064356682
Escherichia coli,Ceftriaxone,2008,41,3938,1807,1075,45.88623666835957,27.29812087353987,44.33465601663647,47.44583532517075,25.92935504186462,28.711134214775157
Escherichia coli,Ceftriaxone,2009,45,4661,2187,1331,46.92126153186012,28.556103840377602,45.49168986046471,48.35590383519423,27.27747325452815,29.870052172726947
Escherichia coli,Ceftriaxone,2010,42,3557,1599,990,44.95361259488333,27.83244307000281,43.32517389884492,46.592939441733385,26.38412730583099,29.3285878420576
Escherichia coli,Ceftriaxone,2011,28,2462,1045,621,42.44516653127538,25.223395613322502,40.506065476939376,44.4078064725609,23.547404521561628,26.976584130025334
Escherichia coli,Ceftriaxone,2012,22,2183,970,619,44.434264773247826,28.35547411818598,42.36143738629972,46.52664597155634,26.50403694263143,30.28295389347547
Escherichia coli,Ceftriaxone,2013,28,2932,1146,671,39.08594815825375,22.885402455661666,37.33514608863793,40.86531163440672,21.400866682131976,24.440895473557067
Escherichia coli,Ceftriaxone,2014,25,2597,1017,602,39.16056988833269,23.18059299191375,37.30061778988512,41.05254179657879,21.597953080825473,24.842457760993724
Escherichia coli,Ceftriaxone,2015,38,3020,1350,991,44.70198675496689,32.81456953642384,42.93661050109436,46.480824097980125,31.162706265857842,34.51009721489003
Escherichia coli,Ceftriaxone,2016,50,7809,3105,2296,39.76181329235497,29.401972083493405,38.68162849529367,40.852066019974785,28.401800830291947,30.422398829256913
Escherichia coli,Ceftriaxone,2017,46,7270,2716,1974,37.35900962861073,27.152682255845942,36.25395132001808,38.47741984877291,26.142610244644704,28.186886503300723
Escherichia coli,Colistin,2018,53,5702,42,42,0.7365836548579446,0.7365836548579446,0.54541734509533,0.994083173007911,0.54541734509533,0.994083173007911
Escherichia coli,Colistin,2019,53,5633,25,25,0.4438132433871827,0.4438132433871827,0.30080353733397114,0.6543671768687751,0.30080353733397114,0.6543671768687751
Escherichia coli,Colistin,2020,56,6084,15,15,0.2465483234714004,0.2465483234714004,0.14947279774821853,0.4064132096257272,0.14947279774821853,0.4064132096257272
Escherichia coli,Colistin,2021,59,6805,28,28,0.4114621601763409,0.4114621601763409,0.2848387131977325,0.5940400091606935,0.2848387131977325,0.5940400091606935
Escherichia coli,Colistin,2022,59,6371,23,23,0.36101083032490977,0.36101083032490977,0.24068795763302514,0.5411582912917989,0.24068795763302514,0.5411582912917989
Escherichia coli,Colistin,2023,58,5218,23,23,0.44078190877730933,0.44078190877730933,0.293903139721783,0.6605773670830017,0.293903139721783,0.6605773670830017
Escherichia coli,Colistin,2024,55,5441,22,22,0.4043374379709612,0.4043374379709612,0.26717738837043115,0.6114792113215677,0.26717738837043115,0.6114792113215677
Escherichia coli,Meropenem,2007,35,2885,240,28,8.31889081455806,0.9705372616984402,7.365724320601269,9.382908850088956,0.6723393763936034,1.3991297462187215
Escherichia coli,Meropenem,2008,41,3921,309,39,7.880642693190513,0.9946442234123948,7.077926296037056,8.765808166744025,0.7284690311062427,1.356747905154036
Escherichia coli,Meropenem,2009,45,4661,276,30,5.9214760780948295,0.6436387041407423,5.279488701245489,6.6360600634324625,0.45122972331544153,0.9173368053492587
Escherichia coli,Meropenem,2010,42,3557,164,6,4.610626932808547,0.1686814731515322,3.969041341702477,5.350145222997763,0.07733044664935719,0.3675491977799855
Escherichia coli,Meropenem,2011,28,2462,144,3,5.848903330625507,0.12185215272136475,4.98891188855702,6.846458052877469,0.04144918866701563,0.35766239190478927
Escherichia coli,Meropenem,2012,42,5194,328,22,6.314978821717366,0.4235656526761648,5.685238780749744,7.009289593157248,0.27989026203656786,0.6405198581972373
Escherichia coli,Meropenem,2013,49,7428,353,32,4.752288637587506,0.4308023694130318,4.2914089616823965,5.259944666538487,0.30533365602658963,0.6075149185373167
Escherichia coli,Meropenem,2014,45,7061,316,28,4.47528678657414,0.3965443988103668,4.017274350246867,4.982806720600442,0.27450657428818864,0.5725252971203345
Escherichia coli,Meropenem,2015,48,6760,363,38,5.3698224852071,0.5621301775147929,4.857359539596154,5.932979992518564,0.40983460353049395,0.7705812785800078
Escherichia coli,Meropenem,2016,50,7809,462,47,5.916250480215137,0.6018696375976438,5.414329450643979,6.461522167632003,0.45293887901311036,0.7993770592583769
Escherichia coli,Meropenem,2017,46,7270,399,36,5.488308115543329,0.4951856946354883,4.987894644587616,6.035736587411994,0.3579111766497795,0.6847491459604178
Escherichia coli,Meropenem,2018,53,5702,308,88,5.40161346895826,1.5433181339880744,4.844339101616454,6.018939580311827,1.254437879756772,1.8974453283312505
Escherichia coli,Meropenem,2019,53,5633,212,88,3.763536303923309,1.562222616722883,3.2972289876328063,4.292863122394438,1.269824228030441,1.9206408601666545
Escherichia coli,Meropenem,2020,56,6084,350,139,5.752794214332676,2.284681130834977,5.195137032739606,6.366291818218656,1.938256386092192,2.691323091742814
Escherichia coli,Meropenem,2021,59,6805,357,155,5.2461425422483465,2.2777369581190303,4.741212444428518,5.801571715874516,1.9492673781568195,2.6600550846847835
Escherichia coli,Meropenem,2022,59,6371,292,172,4.583267932820593,2.699733165908021,4.096557225638567,5.124714591361901,2.329355965353245,3.1271163417250025
Escherichia coli,Meropenem,2023,58,5218,289,136,5.538520505940974,2.606362591031046,4.949983176673848,6.19247419988729,2.207689095191981,3.0747665480130584
Escherichia coli,Meropenem,2024,55,5441,319,186,5.8628928505789375,3.4184892482999447,5.269245618131552,6.518819538125754,2.9676000807360228,3.935107035039176
Klebsiella pneumoniae,Cefepime,2018,52,4303,2317,1666,53.84615384615385,38.71717406460609,52.35387278380299,55.33157380541589,37.27244787376041,40.182027539739465
Klebsiella pneumoniae,Cefepime,2019,51,5638,2974,2205,52.74920184462575,39.10961333806314,51.444611325941146,54.050048569461154,37.843639322821744,40.3904176076492
Klebsiella pneumoniae,Cefepime,2020,56,6208,3266,2386,52.60953608247423,38.43427835051546,51.366224290757586,53.84962035286136,37.23173996464481,39.65112142968606
Klebsiella pneumoniae,Cefepime,2021,58,6574,3563,2646,54.19835716458777,40.249467599634926,52.99186542225714,55.39994522650492,39.07004181202933,41.44028200733128
Klebsiella pneumoniae,Cefepime,2022,58,6139,3187,2263,51.91399250692295,36.862681218439484,50.663356138467655,53.16223502443883,35.66444474635456,38.07734867590862
Klebsiella pneumoniae,Cefepime,2023,56,5072,2625,1822,51.754731861198735,35.92271293375394,50.37873953079788,53.12806818658413,34.613455224270275,37.25327836886726
Klebsiella pneumoniae,Cefepime,2024,54,5292,2818,2004,53.25018896447468,37.868480725623584,51.90404021065491,54.5916225216015,36.5708528885134,39.18370830852954
Klebsiella pneumoniae,Ceftazidime avibactam,2012,33,1946,260,20,13.360739979445015,1.027749229188078,11.921046817043118,14.944802016508952,0.6662917501519675,1.5821709965172095
