Species,Drug,Country,y_event,y_PRAS_alert,y_NAIVE_alert,PRAS_lead_yrs,NAIVE_lead_yrs,savings_vs_naive
Klebsiella pneumoniae,Cefepime,Ivory Coast,2020,,2020,,0,
Klebsiella pneumoniae,Cefepime,Japan,2023,,2018,,5,
Klebsiella pneumoniae,Cefepime,Jordan,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Kenya,2021,,2021,,0,
Klebsiella pneumoniae,Cefepime,"Korea, South",2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Kuwait,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Latvia,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Lithuania,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Malawi,2022,,2022,,0,
Klebsiella pneumoniae,Cefepime,Malaysia,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Mexico,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Morocco,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Netherlands,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Nigeria,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Panama,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Philippines,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Poland,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Portugal,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Qatar,2019,,2019,,0,
Klebsiella pneumoniae,Cefepime,Romania,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Russia,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Saudi Arabia,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Slovenia,2021,,2021,,0,
Klebsiella pneumoniae,Cefepime,South Africa,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Spain,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Sweden,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Switzerland,2019,,2018,,1,
Klebsiella pneumoniae,Cefepime,Taiwan,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Thailand,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Turkey,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Uganda,2021,,2021,,0,
Klebsiella pneumoniae,Cefepime,Ukraine,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,United Kingdom,2018,,2018,,0,
Klebsiella pneumoniae,Cefepime,Venezuela,2018,,2018,,0,
Klebsiella pneumoniae,Ceftazidime avibactam,Argentina,2020,2020.0,2020,0.0,0,0.0
Klebsiella pneumoniae,Ceftazidime avibactam,Brazil,2024,2022.0,2019,2.0,5,-3.0
Klebsiella pneumoniae,Ceftazidime avibactam,Bulgaria,2022,,2022,,0,
Klebsiella pneumoniae,Ceftazidime avibactam,Cameroon,2023,,2020,,3,
Klebsiella pneumoniae,Ceftazidime avibactam,Colombia,2023,2023.0,2021,0.0,2,-2.0
Klebsiella pneumoniae,Ceftazidime avibactam,Costa Rica,2021,,2018,,3,
Klebsiella pneumoniae,Ceftazidime avibactam,Greece,2015,,2012,,3,
Klebsiella pneumoniae,Ceftazidime avibactam,Guatemala,2018,,2018,,0,
Klebsiella pneumoniae,Ceftazidime avibactam,India,2018,,2018,,0,
Klebsiella pneumoniae,Ceftazidime avibactam,Italy,2023,2023.0,2012,0.0,11,-11.0
Klebsiella pneumoniae,Ceftazidime avibactam,Jordan,2021,,2021,,0,
Klebsiella pneumoniae,Ceftazidime avibactam,Kuwait,2021,2021.0,2018,0.0,3,-3.0
Klebsiella pneumoniae,Ceftazidime avibactam,Malawi,2022,,2022,,0,
Klebsiella pneumoniae,Ceftazidime avibactam,Malaysia,2024,,2019,,5,
Klebsiella pneumoniae,Ceftazidime avibactam,Mexico,2021,2021.0,2020,0.0,1,-1.0
Klebsiella pneumoniae,Ceftazidime avibactam,Morocco,2019,,2019,,0,
Klebsiella pneumoniae,Ceftazidime avibactam,Nigeria,2018,,2013,,5,
Klebsiella pneumoniae,Ceftazidime avibactam,Philippines,2024,,2013,,11,
