Species,Drug,Country,y_event,y_PRAS,y_NAIVE,PRAS_lead,NAIVE_lead
Pseudomonas aeruginosa,Ceftazidime avibactam,Kuwait,2013,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Malaysia,2020,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Mexico,2014,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Netherlands,2024,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Nigeria,2018,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Poland,2016,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Romania,2013,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Russia,2013,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,South Africa,2013,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Sweden,2022,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Taiwan,2023,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Thailand,2013,,,,
Pseudomonas aeruginosa,Ceftazidime avibactam,Turkey,2019,,,,
Pseudomonas aeruginosa,Meropenem,Canada,2009,,,,
Pseudomonas aeruginosa,Meropenem,Denmark,2009,,,,
Pseudomonas aeruginosa,Meropenem,Finland,2013,,,,
Pseudomonas aeruginosa,Meropenem,Ghana,2023,,,,
Pseudomonas aeruginosa,Meropenem,Hong Kong,2010,,,,
Pseudomonas aeruginosa,Meropenem,Hungary,2008,,,,
Pseudomonas aeruginosa,Meropenem,Israel,2008,,,,
Pseudomonas aeruginosa,Meropenem,Slovak Republic,2008,,,,
Pseudomonas aeruginosa,Meropenem,Sweden,2008,,,,
